Genome Name / Sample Name,IMG Genome ID,Metabolism,Oxygen Requirement,Genome Size  * assembled
Clostridioides difficile CD212,2541047306,,Anaerobe,4009414
Clostridium botulinum Prevot 910,2713897205,,,3938738
Rhodococcus ruber Chol-4,2554235023,,,5400989
Klebsiella pneumoniae WCHKP13F4,2778261197,,,5665623
Clostridioides difficile F249,2541047362,,Anaerobe,4212007
Mycobacteroides chelonae 1518,2565956796,,,5394060
Clostridioides difficile KY62,2671180289,,,3984201
Methylobacterium variabile DSM 16961,2636415936,,,7432100
Jonquetella sp. BV3C21,2558860388,,,1654274
Clostridium botulinum ATCC 449,2713897200,,,3776183
Paeniclostridium sordellii UMC4401,2657245020,,,3506751
Clostridioides difficile DA00212,2541047343,,Anaerobe,4155032
Thiobacillus thioparus DSM 505,2515154076,,Aerobe,3201518
Thioalkalivibrio versutus D301,2630968613,,,2969361
Candidate division SPAM bacterium AG_278_N11,2651869891,,Microaerophilic,1151416
Dorea formicigenerans 4_6_53AFAA,2513237343,,Anaerobe,3825700
Rhodospirillaceae bacterium JGI 01_M16_4000m (contamination screened),2739367922,,,1315098
Methanosarcinales,2505313014,,,3485298
Idiomarina sp. H105,2744054528,,,6102731
Clostridium botulinum CDC48719,2671180305,,,3954473
Comamonas thiooxydans DF2,2645727942,,,5574707
Methylobacterium sp. ME121,2671180325,,,7083539
Staphylococcus aureus DAR5850,2571042266,,,2937976
Clostridioides difficile DA00197,2541047339,,Anaerobe,4128273
Actinotalea fermentans DSM 3133,2636415524,,,3617111
Enterococcus faecalis CH19,2558860724,,,3176873
Peptoclostridium litorale DSM 5388,2585428090,,Anaerobe,3197617
Gordonia sp. 852002-51296_SCH5728562-b,2808606521,,,5126068
Mycobacteroides abscessus abscessus 1030,2795385571,,,5275519
Staphylococcus aureus DAR5815,2602041777,,,2889947
Staphylococcus aureus M170,2734482530,,,2952191
Clostridioides difficile T14,2558309142,,,3988952
Clostridioides difficile CD105KSE5,2740892349,,,4254918
Thioalkalivibrio sp. ALMg13-2,2521172664,,,3018254
Peptoniphilaceae bacterium SIT14,2660238554,,,1831366
Brevibacillus reuszeri NIT02,2854282004,,,7125726
Clostridioides difficile 6042,2541047312,,Anaerobe,3952060
Clostridioides difficile Y202,2541047371,,Anaerobe,3908094
Caballeronia udeis ES_FE-H11,2754412539,,,11558294
Paeniclostridium sordellii W2948,2663763491,,,3439155
Bacteroidales bacterium PSC KfJoeBact2-2 (unscreened),2529292551,,,12300934
Enterobacter hormaechei MNCRE30,2667527746,,,4918292
Paraburkholderia fungorum ATCC BAA-463,2636415771,,,9058983
Staphylococcus aureus CC072,2675903414,,,2895633
Halomonas sp. MES3-P3E,2775507014,,,4453427
Staphylococcus aureus DAR5860,2603880038,,,2899404
Clostridium botulinum CDC 795,2724679578,,,3917385
Pseudomonas sp. GP01-A14,2791355563,,,7333407
Mycobacteroides abscessus abscessus 323,2795385724,,,5044612
Peptostreptococcaceae bacterium VA2,2563366721,,,3583479
Salmonella enterica enterica sv. Heidelberg 163,2744054669,,,5146588
Mycobacteroides abscessus abscessus 283,2802428992,,,5042413
Staphylococcus aureus aureus S2396,2609460040,,,2947260
Staphylococcus aureus DAR5841,2603879599,,,2897101
Oerskovia enterophila VJag re-assembly,2681812856,,Anaerobe,4535074
Prauserella shujinwangii CGMCC 4.7125,2718217639,,,6105433
Mycobacteroides abscessus abscessus 386,2802428892,,,5046097
Nocardia salmonicida NBRC 13393,2731957743,,,8250523
Dictyobacter aurantiacus S27,2840502759,,,8881661
Burkholderia sp. CQ001,2765235966,,,9105695
Nitrospirae bacterium CG17_big_fil_post_rev_8_21_14_2_50_50_9,2786546408,,,2937399
Clostridioides difficile CD13,2541047260,,Anaerobe,4114574
Clostridioides difficile CD34,2541047265,,Anaerobe,4023198
Pseudomonas synxantha DSM 13080,2518285516,,Aerobe,6380328
Staphylococcus aureus DAR5807,2568526364,,,2895643
Bacillus cereus R309803,643886032,,Aerobe,5563553
Staphylococcus simulans SNUC 1050,2816332472,,,2599041
Caballeronia jiangsuensis MP-1,2576861805,,,8611053
Staphylococcus aureus DAR5855,2571042305,,,2834591
Staphylococcus simulans SNUC 51,2816332454,,,2609280
Staphylococcus aureus DAR5812,2571042562,,,2888378
Maricaulis maris DSM 4734,2757320355,,,3568848
Clostridium botulinum SU1575NT,2681813437,,,3870165
Marinobacter salsuginis SD-14B,2516653033,,Facultative,4749789
Serratia marcescens AR_0027,2851114255,,,5495515
Mycobacteroides abscessus abscessus 126,2795385747,,,5037638
Staphylococcus aureus DAR5864,2571042300,,,2851083
Staphylococcus aureus C186,2636415794,,,2866702
Staphylococcus aureus H211,2734482422,,,2987380
Staphylococcus haemolyticus 51-34,2671180731,,,2505141
Escherichia coli CVM N34352PS,2737471828,,,5140568
Clostridiales bacterium VE202-26,2585427818,,,3915227
Clostridioides difficile T20,2576861717,,,3815975
Staphylococcus condimenti DSM 11674,2645727505,,,2600892
Gordonia sp. SGD-V-85,2857214389,,,5439079
Staphylococcus aureus DAR5842,2603880037,,,2970930
Acidithiobacillales bacterium SM1_46,2654587931,,,2616358
Pseudomonas lactis DSM 29142,2660237937,,,6729789
Pseudomonas fluorescens SBW25,649633086,,Aerobe,7147633
Staphylococcus aureus M0037,2571042571,,,2776263
Mycobacteroides abscessus abscessus 253,2802429123,,,5267792
Staphylococcus aureus DAR5805,2568526290,,,2920065
Staphylococcus aureus DAR5826,2603880041,,,2894993
Pseudonocardia spinosispora DSM 44797,2524614769,Nitrate reducer,Aerobe,9539468
Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450,2711768411,,,6161382
Afipia sp. OHSU_I-uncloned,2568526295,,,5083702
Clostridioides difficile P23,2541047394,,Anaerobe,4043980
Clostridium botulinum CDC33700,2663762825,,,3625544
Microbacterium sp. Leaf351,2643221811,,,2887628
Bosea thiooxidans CGMCC 9174,2713896887,,,5454810
Staphylococcus aureus DAR5835,2602041778,,,2876965
Staphylococcus simulans SNUC 940,2816332461,,,2643905
Rhizobium tropici PTD1,2585427595,,,8054993
Clostridioides difficile P74,2541047419,,Anaerobe,4166382
Clostridioides difficile CD45,2541047273,,Anaerobe,4373392
Mycobacteroides abscessus abscessus 1135,2795385779,,,7710065
Novosphingobium sp. HII-3,2834748349,,,4110983
Eubacteriales bacterium Cp17,2757320483,,,9175075
Heimdallarchaeota archaeon RS678,2778261486,,,1406929
Mycobacteroides abscessus abscessus 1151,2802428889,,,5305586
Staphylococcus aureus aureus MRSA_P2,2617271121,,,2815514
Streptomyces zinciresistens K42,2531839181,,Aerobe,8221694
Actinocrispum wychmicini DSM 45934,2799112271,,Aerobe,12011259
Clostridium botulinum CDC66089,2690316317,,,3358352
Clostridioides difficile DA00216,2541047347,,Anaerobe,4065055
Mycobacteroides abscessus abscessus 372,2802429062,,,4967851
Brevibacillus gelatini DSM 100115,2839026242,,,4637568
Clostridioides difficile DA00165,2541047331,,Anaerobe,4164211
Clostridioides difficile SA10-050,2651869658,,,4311637
Burkholderia pseudomallei ABCPW 111,2630968368,,,6701812
Pseudomonas sp. CFT9,2541047103,,Aerobe,6205326
Mycobacteroides abscessus abscessus 293,2802428959,,,5047038
Sphingomonas melonis 30a,2636415901,,,3944577
Klebsiella pneumoniae INF274,2860589870,,,5732200
Mycobacteroides abscessus abscessus 1060,2795385579,,,5471384
Pseudomonas sp. G5(2012),2565956706,,,7204561
Staphylococcus epidermidis LM127,2503982030,,,2738833
Streptomyces scabiei NRRL B-2795,2862382967,,,10317375
Clostridioides difficile P25,2541047396,,Anaerobe,4281889
Staphylococcus haemolyticus 51_17,2690316335,,,2789622
Agrobacterium tumefaciens CFBP6626,2850609361,,,5525862
Streptomyces sp. NRRL S-50,2775507089,,,7365500
Paraburkholderia piptadeniae STM7183,2791355137,,,9654227
Clostridioides difficile T6,2558309135,,,4307936
Staphylococcus simulans FDAARGOS_383,2816332343,,,2871975
Staphylococcus simulans SNUC 2756,2816332486,,,2605295
Shewanella algae BRY,2546826727,,Aerobe,4930587
Clostridioides difficile T10,2558309130,,,4042209
Chromobacterium subtsugae F49,2630968630,,,4674687
Clostridioides difficile CD70,2541047278,,Anaerobe,4061463
Clostridioides difficile Y266,2541047379,,Anaerobe,4128437
Burkholderia sp. IDO3,2860472259,,,8003806
Staphylococcus aureus aureus M1015,647533224,,Facultative,2785837
Paeniclostridium sordellii UMC4404,2695420437,,,3524193
Bradyrhizobium sp. OHSU_III,2554235754,,,7941537
Staphylococcus simulans SNUC 1368,2816332456,,,2687570
Staphylococcus epidermidis VCU036,2582580758,,Facultative,2425380
Pseudocitrobacter faecalis DSM 27453,2770939623,,Aerobe,5155726
Clostridioides difficile CF5,2558860172,,Obligate anaerobe,4159517
Uncultured bacterium plasmid pTP6,641210481,,,54344
Staphylococcus aureus UC50,2724679002,,,2817908
Mycobacterium avium hominissuis MAH-E-2514,2724679022,,,5279161
Paeniclostridium sordellii UMC1,2695420552,,,3520761
Enterobacter sp. ST121:950178628,2703718679,,,5283535
Thioalkalivibrio sp. ALMg3,2521172666,,,2799910
Enterobacter cloacae AR_0163,2869831711,,,5215817
Jeotgalicoccus marinus DSM 19772,2523533549,,Facultative,2111746
Mycobacteroides abscessus abscessus 501,2795385739,,,5034331
