Domain,IMG Genome,Genome Type,Content in mer genes,merA_copies,merA comment,merA IMG gene ID 1,merA IMG gene ID 2,merA IMG gene ID 3,merA IMG gene ID 4,merA IMG gene ID 5,merA IMG gene ID 6,merA IMG gene ID 7,merA IMG gene ID 8,merB copies,merB-like copies,merB comment,merB IMG gene ID 1,merB IMG gene ID 2,merB IMG gene ID 3,merB IMG gene ID 4,merB IMG gene ID 5,merB IMG gene ID 6,merB IMG gene ID 7,merB IMG gene ID 8,merB IMG gene ID 9-12,Phylum,Class,Order,Family,Genus,Species,Genome Name / Sample Name,Genome Sequencing Status
Bacteria,2516653049,Genome Analysis (Isolate),merA & merB-like,2,,2516915738,2516917021,,,,,,,0,4,117alt only,117alt:2516915739,117alt:2516917023,117alt:2516917104,117alt:2516917114,,,,,,Actinobacteria,Actinobacteria,Sporichthyales,Sporichthyaceae,Sporichthya,Sporichthya polymorpha,Sporichthya polymorpha DSM 43042,Complete
Bacteria,2821241899,Genome Analysis (Isolate),merA & merB-like,2,,2821244587,2821245941,,,,,,,0,3,117alt only,117alt:2821243890,117alt:2821244586,117alt:2821245942,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia aquatica,Leifsonia aquatica DSM 20146,Complete
Bacteria,2739367682,Single Cell Analysis (screened),merB-like only,0,,,,,,,,,,0,3,117alt only,117alt:2739678106,117alt:2739678862,117alt:2739678941,,,,,,,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified,Actinobacteria bacterium,Actinobacteria bacterium JGI 01_K18_4000m (contamination screened),Complete
Bacteria,2731957893,Genome Analysis (Isolate),merA & merB-like,2,,2733656832,2733658078,,,,,,,0,2,117alt only,117alt:2733656833,117alt:2733658079,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium testaceum,Microbacterium testaceum NS220,Complete
Bacteria,2690315802,Genome Analysis (Isolate),merA & merB-like,2,,2691138209,2691138245,,,,,,,0,2,117alt only,117alt:2691138210,117alt:2691138246,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium mucogenicum,Mycolicibacterium mucogenicum CSUR P2099,Complete
Bacteria,2833997711,Genome Analysis (Isolate),merA & merB-like,2,,2833999482,2834003684,,,,,,,0,2,117alt only,117alt:2833999483,117alt:2834003683,,,,,,,,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides panzhihuensis,Nocardioides panzhihuensis DSM 26487,Complete
Bacteria,2615840625,Genome Analysis (Isolate),merA & merB-like,2,,2616304867,2616305565,,,,,,,0,2,117alt only,117alt:2616304868,117alt:2616305566,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus enclensis,Rhodococcus enclensis NIO-1009,Complete
Bacteria,2802429286,Genome Analysis (Isolate),merA & merB-like,2,,2804817498,2804818200,,,,,,,0,2,117alt only,117alt:2804817499,117alt:2804818201,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus enclensis,Rhodococcus enclensis NIO-1009,Complete
Bacteria,2576861397,Genome Analysis (Isolate),merA & merB-like,2,,2578256092,2578256652,,,,,,,0,2,117alt only,117alt:2578256090,117alt:2578256091,,,,,,,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia,Gillisia sp. Hel_I_29,Gillisia sp. Hel_I_29,Complete
Bacteria,2839527574,Genome Analysis (Isolate),merA & merB-like,2,,2839528173,2839530803,,,,,,,0,2,117alt only,117alt:2839528175,117alt:2839530805,,,,,,,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter mishustinae,Salegentibacter mishustinae DSM 23404,Complete
