Query Sequence Name	Gene ID	Gene Name	Genome ID	Genome Name	Query Start Coord	Query End Coord	Subject Start Coord	Subject End Coord	Bit Score	E-value	Identities	Subject Length	
query3677469	2549717718	periplasmic mercuric ion binding protein	2548876758	Pseudomonas aeruginosa NCMG1179	1	91	1	91	176	2e-60	99	91	
query3677469	2562783401	periplasmic mercuric ion binding protein	2562617043	Pseudomonas sp. EGD-AK9	1	91	1	91	176	1e-60	99	91	
query3677469	2590840772	periplasmic mercuric ion binding protein	2590828102	beta proteobacterium FWI2	1	91	1	91	176	2e-60	99	91	
query3677469	2633881834	periplasmic mercuric ion binding protein	2630968946	Ralstonia mannitolilytica SN82F48	1	91	1	91	176	1e-60	99	91	
query3677469	2661417556	periplasmic mercuric ion binding protein	2660238203	Pseudomonas sp. NBRC 111127	1	91	1	91	176	2e-60	99	91	
query3677469	2667502548	periplasmic mercuric ion binding protein	2663763601	Pseudomonas psychrotolerans LMG 21977	1	91	1	91	176	1e-60	99	91	
query3677469	2667503085	periplasmic mercuric ion binding protein	2663763601	Pseudomonas psychrotolerans LMG 21977	1	91	1	91	176	1e-60	99	91	
query3677469	2704060950	periplasmic mercuric ion binding protein	2703718695	Enterobacter asburiae ST252:950126202	1	91	1	91	176	3e-60	99	91	
query3677469	2720721732	periplasmic mercuric ion binding protein	2718218255	Klebsiella sp. LTGPAF-6F	1	91	1	91	176	2e-60	99	91	
query3677469	2736092208	periplasmic mercuric ion binding protein	2734482401	Pseudomonas aeruginosa RW88	1	91	1	91	176	2e-60	99	91	
query3677469	2743196724	periplasmic mercuric ion binding protein	2740892368	Cupriavidus metallidurans NE12	1	91	1	91	176	2e-60	99	91	
query3677469	2839308708	periplasmic mercuric ion binding protein	2839303116	Variovorax sp. JS1663	1	91	1	91	176	2e-60	99	91	
query3677469	2847530839	periplasmic mercuric ion binding protein	2847528547	Stenotrophomonas maltophilia SJTH1	1	91	1	91	176	1e-60	99	91	
query3677469	2870322652	periplasmic mercuric ion binding protein	2870319472	Pseudomonas aeruginosa PASGNDM345	1	91	1	91	176	2e-60	99	91	
query3677469	2870334704	periplasmic mercuric ion binding protein	2870331525	Pseudomonas aeruginosa PASGNDM699	1	91	1	91	176	2e-60	99	91	
query3677469	641622134	periplasmic mercuric ion binding protein	641522646	Pseudomonas putida W619	1	91	1	91	176	2e-60	99	91	
query3677469	2583247735	periplasmic mercuric ion binding protein	2582580763	Burkholderia cenocepacia S2AES	1	91	1	91	175	5e-60	98	91	
query3677469	2577538242	periplasmic mercuric ion binding protein	2576861188	Enterobacter asburiae UCI 49	1	91	1	91	174	2e-59	97	91	
query3677469	2699273833	periplasmic mercuric ion binding protein	2698536479	Enterobacter kobei ST54:941713674	1	91	1	91	174	2e-59	97	91	
query3677469	2699274252	periplasmic mercuric ion binding protein	2698536479	Enterobacter kobei ST54:941713674	1	91	1	91	174	2e-59	97	91	
query3677469	2699273516	periplasmic mercuric ion binding protein	2698536479	Enterobacter kobei ST54:941713674	1	91	1	91	174	2e-59	97	91	
query3677469	2842331889	periplasmic mercuric ion binding protein	2842324504	Paraburkholderia fungorum SEMIA 4007	1	91	1	91	153	4e-51	84	91	
query3677469	2842353735	periplasmic mercuric ion binding protein	2842348783	Paraburkholderia fungorum SEMIA 4013	1	91	1	91	153	4e-51	84	91	
query3677469	2510626485	periplasmic mercuric ion binding protein	2510461031	Pseudomonas aeruginosa LC IV, ATCC 260	1	91	1	91	147	5e-49	91	91	
query3677469	2510648038	periplasmic mercuric ion binding protein	2510461034	Pseudomonas aeruginosa R. Hugh 813, ATCC 97	1	91	1	91	147	5e-49	91	91	
query3677469	2518320901	periplasmic mercuric ion binding protein	2518285516	Pseudomonas synxantha DSM 13080	1	91	1	91	147	6e-49	76	91	
query3677469	2520391103	periplasmic mercuric ion binding protein	2519899622	Pseudomonas sp. Ag1	1	91	1	91	147	7e-49	76	91	
query3677469	2541855594	periplasmic mercuric ion binding protein	2541047103	Pseudomonas sp. CFT9	1	91	1	91	147	6e-49	76	91	
query3677469	2543171130	periplasmic mercuric ion binding protein	2541047479	Pseudomonas syringae BRIP34876	1	91	1	91	147	6e-49	76	91	
query3677469	2543180173	periplasmic mercuric ion binding protein	2541047481	Pseudomonas syringae BRIP34881	1	91	1	91	147	6e-49	76	91	
query3677469	2549662281	periplasmic mercuric ion binding protein	2548876749	Pseudomonas syringae pv. actinidiae PA459	1	91	1	91	147	6e-49	76	91	
query3677469	2586026658	periplasmic mercuric ion binding protein	2585427641	Pseudomonas sp. WCS374	1	91	1	91	147	6e-49	76	91	
query3677469	2586023998	periplasmic mercuric ion binding protein	2585427641	Pseudomonas sp. WCS374	1	91	1	91	147	6e-49	76	91	
query3677469	2631457469	periplasmic mercuric ion binding protein	2630968351	Pseudomonas fluorescens AU2989	1	91	1	91	147	6e-49	76	91	
query3677469	2640299636	periplasmic mercuric ion binding protein	2639762637	Pseudomonas poae LMG 21465	1	91	1	91	147	6e-49	76	91	
query3677469	2641508664	periplasmic mercuric ion binding protein	2639762981	Pseudomonas fluorescens AU14440	1	91	1	91	147	7e-49	76	91	
query3677469	2642370885	periplasmic mercuric ion binding protein	2639763190	Pseudomonas rhodesiae LMG 17764	1	91	1	91	147	6e-49	76	91	
query3677469	2659673808	periplasmic mercuric ion binding protein	2657245614	Pseudomonas sp. NBRC 111118	1	91	1	91	147	5e-49	91	91	
query3677469	2661419879	periplasmic mercuric ion binding protein	2660238203	Pseudomonas sp. NBRC 111127	1	91	1	91	147	4e-49	91	91	
query3677469	2662688732	periplasmic mercuric ion binding protein	2660238513	Pseudomonas synxantha DSM 18928	1	91	1	91	147	7e-49	76	91	
query3677469	2666130013	periplasmic mercuric ion binding protein	2663763218	Pseudomonas coronafaciens LMG 5060	1	91	1	91	147	5e-49	76	91	
query3677469	2666129965	periplasmic mercuric ion binding protein	2663763218	Pseudomonas coronafaciens LMG 5060	1	91	1	91	147	4e-49	91	91	
query3677469	2666489546	periplasmic mercuric ion binding protein	2663763303	Pseudomonas sp. NBRC 111142	1	91	1	91	147	5e-49	91	91	
query3677469	2667580029	periplasmic mercuric ion binding protein	2667527211	Pseudomonas abietaniphila LMG 20220	1	91	1	91	147	5e-49	91	91	
query3677469	2667945423	periplasmic mercuric ion binding protein	2667527385	Pseudomonas synxantha LMG 2190	1	91	1	91	147	7e-49	76	91	
query3677469	2670059807	periplasmic mercuric ion binding protein	2667527928	Pseudomonas poae DSM 14936	1	91	1	91	147	6e-49	76	91	
query3677469	2696701901	periplasmic mercuric ion binding protein	2695420601	Pseudomonas sp. NBRC 111137	1	91	1	91	147	7e-49	76	91	
query3677469	2712823952	periplasmic mercuric ion binding protein	2711768305	Pseudomonadales bacterium RIFCSPLOWO2_12_60_38	1	91	1	91	147	6e-49	76	91	
query3677469	2713031834	periplasmic mercuric ion binding protein	2711768411	Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450	1	91	1	91	147	6e-49	76	91	
query3677469	2716249619	periplasmic mercuric ion binding protein	2713897252	Pseudomonas syringae pv. atrofaciens ICMP 4394	1	91	1	91	147	6e-49	76	91	
query3677469	2729285046	periplasmic mercuric ion binding protein	2728369127	Pseudomonas sp. ABFPK	1	91	1	91	147	5e-49	91	91	
query3677469	2745187316	periplasmic mercuric ion binding protein	2744054662	Pseudomonas monteilii CD10_2	1	91	1	91	147	5e-49	91	91	
query3677469	2788699292	periplasmic mercuric ion binding protein	2788499840	Pseudomonas synxantha finPsuedoS	1	91	1	91	147	6e-49	76	91	
query3677469	2794725857	periplasmic mercuric ion binding protein	2791355541	Pseudomonas sp. MPR-R5A	1	91	1	91	147	6e-49	91	91	
query3677469	2794783354	periplasmic mercuric ion binding protein	2791355551	Pseudomonas sp. MPR-R5B	1	91	1	91	147	6e-49	91	91	
query3677469	2794850746	periplasmic mercuric ion binding protein	2791355562	Pseudomonas sp. GP01-A3	1	91	1	91	147	7e-49	76	91	
query3677469	2794849380	periplasmic mercuric ion binding protein	2791355562	Pseudomonas sp. GP01-A3	1	91	1	91	147	6e-49	91	91	
query3677469	2794854619	periplasmic mercuric ion binding protein	2791355563	Pseudomonas sp. GP01-A14	1	91	1	91	147	6e-49	91	91	
query3677469	2794854791	periplasmic mercuric ion binding protein	2791355563	Pseudomonas sp. GP01-A14	1	91	1	91	147	7e-49	76	91	
