"Query.Sequence.Name","Gene.ID","Gene.Name","Genome.ID","Genome.Name","Query.Start.Coord","Query.End.Coord","Subject.Start.Coord","Subject.End.Coord","Bit.Score","E.value","Identities","Subject.Length","X"
"query3604284",2843974586,"mercuric ion transport protein",2843969098,"Citrobacter freundii SL151",2,126,7,131,248,9e-88,100,131,NA
"query3604284",2550317816,"mercuric ion transport protein",2548876915,"Klebsiella pneumoniae pneumoniae LCT-KP214",7,126,2,121,237,1e-83,100,121,NA
"query3604284",2555199139,"mercuric ion transport protein",2554235220,"Klebsiella pneumoniae LCT-KP182",7,126,2,121,237,2e-83,100,121,NA
"query3604284",2555215170,"mercuric ion transport protein",2554235223,"Klebsiella pneumoniae LCT-KP289",7,126,2,121,237,2e-83,100,121,NA
"query3604284",2573600844,"mercuric ion transport protein",2571042753,"Enterobacter sp. MGH 15",7,126,2,121,237,1e-83,100,121,NA
"query3604284",2578644024,"mercuric ion transport protein",2576861519,"Enterobacter sp. MGH 7",7,126,2,121,237,1e-83,100,121,NA
"query3604284",2870236334,"mercuric ion transport protein",2870230914,"Klebsiella pneumoniae 2-1",7,126,2,121,237,1e-83,100,121,NA
"query3604284",2851437236,"mercuric ion transport protein",2851431590,"Klebsiella pneumoniae INF278",7,126,2,121,235,9e-83,99,121,NA
"query3604284",2851442984,"mercuric ion transport protein",2851437328,"Klebsiella pneumoniae INF163",7,126,2,121,235,9e-83,99,121,NA
"query3604284",2860595530,"mercuric ion transport protein",2860589870,"Klebsiella pneumoniae INF274",7,126,2,121,235,9e-83,99,121,NA
"query3604284",2520139989,"mercuric ion transport protein",2519899563,"Escherichia coli O111 CVM9455",7,126,2,121,233,5e-82,97,121,NA
"query3604284",2588780213,"mercuric ion transport protein",2588253803,"Salmonella enterica enterica sv. Heidelberg SARA 39",12,126,2,116,226,2e-79,100,116,NA
"query3604284",2847530822,"mercuric ion transport protein",2847528547,"Stenotrophomonas maltophilia SJTH1",12,126,2,116,226,2e-79,100,116,NA
"query3604284",2633880468,"mercuric ion transport protein",2630968946,"Ralstonia mannitolilytica SN82F48",12,126,2,116,225,8e-79,99,116,NA
"query3604284",2633880519,"mercuric ion transport protein",2630968946,"Ralstonia mannitolilytica SN82F48",12,126,2,116,225,8e-79,99,116,NA
"query3604284",2742272262,"mercuric ion transport protein",2740892159,"Oleibacter sp. HI0075",12,126,2,116,225,9e-79,99,116,NA
"query3604284",2788916236,"mercuric ion transport protein",2788499891,"Sutterellaceae bacterium ARS112",12,126,2,116,224,2e-78,98,116,NA
"query3604284",2520121282,"mercuric ion transport protein",2519899560,"Escherichia coli O111:H8 CVM9634",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2536624479,"mercuric ion transport protein",2534682109,"Escherichia coli 3.488",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2550317688,"mercuric ion transport protein",2548876915,"Klebsiella pneumoniae pneumoniae LCT-KP214",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2555199005,"mercuric ion transport protein",2554235220,"Klebsiella pneumoniae LCT-KP182",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2555215038,"mercuric ion transport protein",2554235223,"Klebsiella pneumoniae LCT-KP289",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2559831669,"mercuric ion transport protein",2558860434,"Salmonella enterica enterica sv. Typhimurium 34502",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2559835366,"mercuric ion transport protein",2558860435,"Salmonella enterica enterica sv. Typhimurium 35423",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2562595590,"mercuric ion transport protein",2561511241,"Escherichia coli UMNK88",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2580018918,"mercuric ion transport protein",2579778559,"Salmonella enterica enterica sv. Agona 0322",12,126,2,116,222,7e-78,97,116,NA
"query3604284",2582484615,"mercuric ion transport protein",2579779146,"Salmonella enterica enterica sv. Agona 0292",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2583247734,"mercuric ion transport protein",2582580763,"Burkholderia cenocepacia S2AES",12,126,2,116,222,1e-77,97,116,NA
"query3604284",2588795676,"mercuric ion transport protein",2588253806,"Salmonella enterica Enterica sv. Heidelberg N26457",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2588829158,"mercuric ion transport protein",2588253813,"Salmonella enterica enterica sv. Heidelberg 21381",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2632593954,"mercuric ion transport protein",2630968630,"Chromobacterium subtsugae F49",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2636896414,"mercuric ion transport protein",2636415517,"Vibrio cholerae 2012EL-2176",12,126,2,116,222,7e-78,97,116,NA
"query3604284",2656573055,"mercuric ion transport protein",2654588004,"Salmonella enterica enterica sv. Typhimurium 33676",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2658208581,"mercuric ion transport protein",2657245131,"Escherichia coli OLC-791",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2659876586,"mercuric ion transport protein",2657245664,"Escherichia coli UMNturkey3",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2661146401,"mercuric ion transport protein",2660238128,"Escherichia coli TTU2014-121AME",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2662664522,"mercuric ion transport protein",2660238507,"Escherichia coli 50822286",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2663100851,"mercuric ion transport protein",2660238614,"Salmonella enterica enterica sv. Typhimurium DT104 613sCH44",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2666977267,"mercuric ion transport protein",2663763428,"Escherichia coli 50739822",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2668670601,"mercuric ion transport protein",2667527584,"Escherichia coli 50639799",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2669409885,"mercuric ion transport protein",2667527770,"Escherichia coli UMNturkey4",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2670323021,"mercuric ion transport protein",2667527987,"Escherichia coli TTU2014-120BME",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2672492983,"mercuric ion transport protein",2671180367,"Klebsiella pneumoniae SY-B2",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2678504547,"mercuric ion transport protein",2675903580,"Escherichia coli TTU2014-148AME",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2684809309,"mercuric ion transport protein",2684622549,"Klebsiella pneumoniae SY-B",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2687657768,"mercuric ion transport protein",2687453150,"Salmonella enterica enterica sv. Anatum USDA-ARS-USMARC-1736",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2689101391,"mercuric ion transport protein",2687453519,"Salmonella enterica enterica sv. Typhimurium USDA-ARS-USMARC-1896",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2689367744,"mercuric ion transport protein",2687453585,"Escherichia coli Ecol_732",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2714216965,"mercuric ion transport protein",2713896779,"Escherichia coli 03-4064",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2715827395,"mercuric ion transport protein",2713897162,"Klebsiella pneumoniae ST147",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2719684477,"mercuric ion transport protein",2718218001,"Klebsiella pneumoniae Kp_Goe_149832",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2719716057,"mercuric ion transport protein",2718218006,"Klebsiella pneumoniae Kp_Goe_152021",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2719721810,"mercuric ion transport protein",2718218007,"Klebsiella pneumoniae Kp_Goe_149473",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2720300918,"mercuric ion transport protein",2718218149,"Klebsiella pneumoniae KP_Goe_828304",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2724137445,"mercuric ion transport protein",2721755830,"Klebsiella pneumoniae Kp_Goe_827026",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2728636265,"mercuric ion transport protein",2728368973,"Chromobacterium violaceum Cv017",12,126,2,116,222,8e-78,97,116,NA
"query3604284",2730235773,"mercuric ion transport protein",2728369383,"Klebsiella pneumoniae Kp_Goe_822579",12,126,2,116,222,9e-78,97,116,NA
"query3604284",2730330914,"mercuric ion transport protein",2728369405,"Klebsiella pneumoniae Kp_Goe_827024",12,126,2,116,222,9e-78,97,116,NA
