"Query.Sequence.Name","Gene.ID","Gene.Name","Genome.ID","Genome.Name","Query.Start.Coord","Query.End.Coord","Subject.Start.Coord","Subject.End.Coord","Bit.Score","E.value","Identities","Subject.Length","X"
"query3606101",2577538242,"periplasmic mercuric ion binding protein",2576861188,"Enterobacter asburiae UCI 49",1,91,1,91,175,5e-60,97,91,NA
"query3606101",2699273516,"periplasmic mercuric ion binding protein",2698536479,"Enterobacter kobei ST54:941713674",1,91,1,91,175,5e-60,97,91,NA
"query3606101",2699274252,"periplasmic mercuric ion binding protein",2698536479,"Enterobacter kobei ST54:941713674",1,91,1,91,175,5e-60,97,91,NA
"query3606101",2699273833,"periplasmic mercuric ion binding protein",2698536479,"Enterobacter kobei ST54:941713674",1,91,1,91,175,5e-60,97,91,NA
"query3606101",2788916237,"periplasmic mercuric ion binding protein",2788499891,"Sutterellaceae bacterium ARS112",1,91,1,91,174,9e-60,97,91,NA
"query3606101",2847530823,"periplasmic mercuric ion binding protein",2847528547,"Stenotrophomonas maltophilia SJTH1",1,91,1,91,173,3e-59,97,91,NA
"query3606101",640052190,"periplasmic mercuric ion binding protein",640048476,"Ensifer meliloti FP2 plasmid pSB102",1,91,1,91,173,3e-61,97,91,NA
"query3606101",2842331889,"periplasmic mercuric ion binding protein",2842324504,"Paraburkholderia fungorum SEMIA 4007",1,91,1,91,152,9e-51,82,91,NA
"query3606101",2842353735,"periplasmic mercuric ion binding protein",2842348783,"Paraburkholderia fungorum SEMIA 4013",1,91,1,91,152,9e-51,82,91,NA
"query3606101",2510626485,"periplasmic mercuric ion binding protein",2510461031,"Pseudomonas aeruginosa LC IV, ATCC 260",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2510648038,"periplasmic mercuric ion binding protein",2510461034,"Pseudomonas aeruginosa R. Hugh 813, ATCC 97",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2659673808,"periplasmic mercuric ion binding protein",2657245614,"Pseudomonas sp. NBRC 111118",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2661419879,"periplasmic mercuric ion binding protein",2660238203,"Pseudomonas sp. NBRC 111127",1,91,1,91,150,6e-50,92,91,NA
"query3606101",2666129965,"periplasmic mercuric ion binding protein",2663763218,"Pseudomonas coronafaciens LMG 5060",1,91,1,91,150,6e-50,92,91,NA
"query3606101",2666489546,"periplasmic mercuric ion binding protein",2663763303,"Pseudomonas sp. NBRC 111142",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2667580029,"periplasmic mercuric ion binding protein",2667527211,"Pseudomonas abietaniphila LMG 20220",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2729285046,"periplasmic mercuric ion binding protein",2728369127,"Pseudomonas sp. ABFPK",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2745187316,"periplasmic mercuric ion binding protein",2744054662,"Pseudomonas monteilii CD10_2",1,91,1,91,150,7e-50,92,91,NA
"query3606101",2794725857,"periplasmic mercuric ion binding protein",2791355541,"Pseudomonas sp. MPR-R5A",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2794783354,"periplasmic mercuric ion binding protein",2791355551,"Pseudomonas sp. MPR-R5B",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2794849380,"periplasmic mercuric ion binding protein",2791355562,"Pseudomonas sp. GP01-A3",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2794854619,"periplasmic mercuric ion binding protein",2791355563,"Pseudomonas sp. GP01-A14",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2794863600,"periplasmic mercuric ion binding protein",2791355564,"Pseudomonas sp. GP01-A6",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2795011113,"periplasmic mercuric ion binding protein",2791355588,"Pseudomonas sp. FW215-L2",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2795097648,"periplasmic mercuric ion binding protein",2791355603,"Pseudomonas sp. MPBC4-3",1,91,1,91,150,8e-50,92,91,NA
"query3606101",2795236700,"periplasmic mercuric ion binding protein",2791355624,"Pseudomonas sp. GP01-A4",1,91,1,91,150,8e-50,92,91,NA
